Project Key,Generation Unit ID,FQN,InputPartition,Failure Type,Failure Root Cause,Rationale
compress,TarUtils_formatOctalBytes_long_byteArray_int_int_r0_null_empty_boundary,"org.apache.commons.compress.archivers.tar.TarUtils.formatOctalBytes(long,byte[],int,int)",null-empty-boundary,oracle,org.apache.commons.compress.archivers.tar.TarUtils_formatOctalBytes_long_byteArray_int_int_r0_null_empty_boundary_Test::testFormatOctalBytesWithLargeValue junit.framework.AssertionFailedError: arrays first differed at element [0]; expected:<51> but was:<48> at...,Selected by multi-objective pruning to recover Compress line/branch coverage while excluding the noisiest diagnostics.
compress,TarUtils_formatOctalBytes_long_byteArray_int_int_r0_nominal_stateful,"org.apache.commons.compress.archivers.tar.TarUtils.formatOctalBytes(long,byte[],int,int)",nominal-stateful,oracle,org.apache.commons.compress.archivers.tar.TarUtils_formatOctalBytes_long_byteArray_int_int_r0_nominal_stateful_Test::testFormatOctalBytes junit.framework.AssertionFailedError: arrays first differed at element [0]; expected:<49> but was:<48> at...,Selected by multi-objective pruning to recover Compress line/branch coverage while excluding the noisiest diagnostics.
compress,TarUtils_formatOctalBytes_long_byteArray_int_int_r0_exception_invalid,"org.apache.commons.compress.archivers.tar.TarUtils.formatOctalBytes(long,byte[],int,int)",exception-invalid,runtime,org.apache.commons.compress.archivers.tar.TarUtils_formatOctalBytes_long_byteArray_int_int_r0_exception_invalid_Test::testFormatOctalBytes_NegativeValue java.lang.IllegalArgumentException: -123=1777777777777777777605 will not fit in octal number buffer of length 2 at...,Selected by multi-objective pruning to recover Compress line/branch coverage while excluding the noisiest diagnostics.
compress,TarUtils_formatUnsignedOctalString_long_byteArray_int_int_r0_null_empty_boundary,"org.apache.commons.compress.archivers.tar.TarUtils.formatUnsignedOctalString(long,byte[],int,int)",null-empty-boundary,oracle,org.apache.commons.compress.archivers.tar.TarUtils_formatUnsignedOctalString_long_byteArray_int_int_r0_null_empty_boundary_Test::testFormatUnsignedOctalString_ExactFit junit.framework.AssertionFailedError: arrays first differed at element [3]; expected:<48> but was:<49> at...,Selected by multi-objective pruning to recover Compress line/branch coverage while excluding the noisiest diagnostics.
compress,TarUtils_formatUnsignedOctalString_long_byteArray_int_int_r0_nominal_stateful,"org.apache.commons.compress.archivers.tar.TarUtils.formatUnsignedOctalString(long,byte[],int,int)",nominal-stateful,oracle,org.apache.commons.compress.archivers.tar.TarUtils_formatUnsignedOctalString_long_byteArray_int_int_r0_nominal_stateful_Test::testFormatUnsignedOctalString_smallValue junit.framework.AssertionFailedError: arrays first differed at element [3]; expected:<48> but was:<49> at...,Selected by multi-objective pruning to recover Compress line/branch coverage while excluding the noisiest diagnostics.
compress,TarUtils_formatUnsignedOctalString_long_byteArray_int_int_r0_exception_invalid,"org.apache.commons.compress.archivers.tar.TarUtils.formatUnsignedOctalString(long,byte[],int,int)",exception-invalid,oracle,org.apache.commons.compress.archivers.tar.TarUtils_formatUnsignedOctalString_long_byteArray_int_int_r0_exception_invalid_Test::testFormatUnsignedOctalString_throwsIllegalArgumentException_whenValueTooLarge junit.framework.AssertionFailedError:...,Selected by multi-objective pruning to recover Compress line/branch coverage while excluding the noisiest diagnostics.
compress,TarUtils_parseOctal_byteArray_int_int_r0_null_empty_boundary,"org.apache.commons.compress.archivers.tar.TarUtils.parseOctal(byte[],int,int)",null-empty-boundary,oracle,org.apache.commons.compress.archivers.tar.TarUtils_parseOctal_byteArray_int_int_r0_null_empty_boundary_Test::testParseOctalWithInvalidCharacter junit.framework.AssertionFailedError at org.junit.Assert.fail(Assert.java:86) at org.junit.Assert.assertTrue(Assert.java:41) at...,Selected by multi-objective pruning to recover Compress line/branch coverage while excluding the noisiest diagnostics.
compress,TarUtils_parseOctal_byteArray_int_int_r0_nominal_stateful,"org.apache.commons.compress.archivers.tar.TarUtils.parseOctal(byte[],int,int)",nominal-stateful,oracle,org.apache.commons.compress.archivers.tar.TarUtils_parseOctal_byteArray_int_int_r0_nominal_stateful_Test::testParseOctal_ValidInput junit.framework.AssertionFailedError: expected:<123> but was:<83> at org.junit.Assert.fail(Assert.java:88) at org.junit.Assert.failNotEquals(Assert.java:834) at...,Selected by multi-objective pruning to recover Compress line/branch coverage while excluding the noisiest diagnostics.
compress,TarUtils_parseOctal_byteArray_int_int_r0_exception_invalid,"org.apache.commons.compress.archivers.tar.TarUtils.parseOctal(byte[],int,int)",exception-invalid,oracle,org.apache.commons.compress.archivers.tar.TarUtils_parseOctal_byteArray_int_int_r0_exception_invalid_Test::testParseOctal_TrailingSpaceMissing junit.framework.AssertionFailedError: Expected exception: java.lang.IllegalArgumentException at...,Selected by multi-objective pruning to recover Compress line/branch coverage while excluding the noisiest diagnostics.
compress,TarUtils_parseOctalOrBinary_byteArray_int_int_r0_null_empty_boundary,"org.apache.commons.compress.archivers.tar.TarUtils.parseOctalOrBinary(byte[],int,int)",null-empty-boundary,oracle,org.apache.commons.compress.archivers.tar.TarUtils_parseOctalOrBinary_byteArray_int_int_r0_null_empty_boundary_Test::testParseOctalOrBinaryWithNegativeBinary junit.framework.AssertionFailedError: expected:<-1> but was:<-4294967295> at org.junit.Assert.fail(Assert.java:88) at...,Selected by multi-objective pruning to recover Compress line/branch coverage while excluding the noisiest diagnostics.
compress,TarUtils_parseOctalOrBinary_byteArray_int_int_r0_nominal_stateful,"org.apache.commons.compress.archivers.tar.TarUtils.parseOctalOrBinary(byte[],int,int)",nominal-stateful,oracle,org.apache.commons.compress.archivers.tar.TarUtils_parseOctalOrBinary_byteArray_int_int_r0_nominal_stateful_Test::testParseOctalOrBinary_Octal junit.framework.AssertionFailedError: expected:<1> but was:<0> at org.junit.Assert.fail(Assert.java:88) at org.junit.Assert.failNotEquals(Assert.java:834)...,Selected by multi-objective pruning to recover Compress line/branch coverage while excluding the noisiest diagnostics.
compress,TarUtils_parseOctalOrBinary_byteArray_int_int_r0_exception_invalid,"org.apache.commons.compress.archivers.tar.TarUtils.parseOctalOrBinary(byte[],int,int)",exception-invalid,oracle,org.apache.commons.compress.archivers.tar.TarUtils_parseOctalOrBinary_byteArray_int_int_r0_exception_invalid_Test::testParseOctalOrBinary_ValidOctalInput junit.framework.AssertionFailedError: expected:<1234567> but was:<0> at org.junit.Assert.fail(Assert.java:88) at...,Selected by multi-objective pruning to recover Compress line/branch coverage while excluding the noisiest diagnostics.
compress,TarUtils_verifyCheckSum_byteArray_r0_null_empty_boundary,org.apache.commons.compress.archivers.tar.TarUtils.verifyCheckSum(byte[]),null-empty-boundary,runtime,org.apache.commons.compress.archivers.tar.TarUtils_verifyCheckSum_byteArray_r0_null_empty_boundary_Test::testVerifyCheckSum_InvalidChecksum java.lang.IllegalArgumentException: Invalid byte -108 at offset 0 in '��������' len=8 at...,Selected by multi-objective pruning to recover Compress line/branch coverage while excluding the noisiest diagnostics.
compress,TarUtils_verifyCheckSum_byteArray_r0_nominal_stateful,org.apache.commons.compress.archivers.tar.TarUtils.verifyCheckSum(byte[]),nominal-stateful,oracle,org.apache.commons.compress.archivers.tar.TarUtils_verifyCheckSum_byteArray_r0_nominal_stateful_Test::testVerifyCheckSum_ValidChecksumUnsigned junit.framework.AssertionFailedError: Checksum should be valid for the given header at org.junit.Assert.fail(Assert.java:88) at...,Selected by multi-objective pruning to recover Compress line/branch coverage while excluding the noisiest diagnostics.
compress,TarUtils_verifyCheckSum_byteArray_r0_exception_invalid,org.apache.commons.compress.archivers.tar.TarUtils.verifyCheckSum(byte[]),exception-invalid,oracle,org.apache.commons.compress.archivers.tar.TarUtils_verifyCheckSum_byteArray_r0_exception_invalid_Test::testVerifyCheckSum_withValidChecksum junit.framework.AssertionFailedError: Checksum verification should succeed for header with valid checksum at org.junit.Assert.fail(Assert.java:88) at...,Selected by multi-objective pruning to recover Compress line/branch coverage while excluding the noisiest diagnostics.
