FQN,Signature,Jimple Code Representation,Method Source,Field Context,Constructor/Helper Signatures,Throws/Modifiers
org.apache.commons.collections4.map.MultiValueMap.clear(),void clear(),"{
    org.apache.commons.collections4.map.MultiValueMap this;
    unknown $stack1;


    this := @this: org.apache.commons.collections4.map.MultiValueMap;
    $stack1 = virtualinvoke this.<org.apache.commons.collections4.map.MultiValueMap: java.util.Map decorated()>();
    interfaceinvoke $stack1.<java.util.Map: void clear()>();

    return;
}
","//-----------------------------------------------------------------------
/**
 * Clear the map.
 */
@Override
public void clear() {
    // If you believe that you have GC issues here, try uncommenting this code
    //        Set pairs = getMap().entrySet();
    //        Iterator pairsIterator = pairs.iterator();
    //        while (pairsIterator.hasNext()) {
    //            Map.Entry keyValuePair = (Map.Entry) pairsIterator.next();
    //            Collection coll = (Collection) keyValuePair.getValue();
    //            coll.clear();
    //        }
    decorated().clear();
}","/**
 * Serialization version
 */
private static final long serialVersionUID = -2214159910087182007L;

/**
 * The factory for creating value collections.
 */
private final Factory<? extends Collection<V>> collectionFactory;

/**
 * The cached values.
 */
private transient Collection<V> valuesView;","<init>()
<init>(Map, Factory)
multiValueMap(Map) | public static
multiValueMap(Map, Class) | public static
multiValueMap(Map, Factory) | public static
writeObject(ObjectOutputStream) | private | throws IOException
readObject(ObjectInputStream) | private | throws IOException, ClassNotFoundException
removeMapping(Object, Object) | public
containsValue(Object) | public
put(K, Object) | public
putAll(Map) | public
entrySet() | public
values() | public
containsValue(Object, Object) | public
getCollection(Object) | public
size(Object) | public
putAll(K, Collection) | public
iterator(Object) | public
iterator() | public
totalSize() | public
createCollection(int) | protected",public
org.apache.commons.collections4.map.MultiValueMap.containsValue(java.lang.Object),boolean containsValue(java.lang.Object),"{
    java.lang.Object value;
    org.apache.commons.collections4.map.MultiValueMap this;
    unknown $stack10, $stack5, $stack6, $stack7, $stack8, $stack9, entry, l3, pairs;


    this := @this: org.apache.commons.collections4.map.MultiValueMap;
    value := @parameter0: java.lang.Object;
    $stack5 = virtualinvoke this.<org.apache.commons.collections4.map.MultiValueMap: java.util.Map decorated()>();
    pairs = interfaceinvoke $stack5.<java.util.Map: java.util.Set entrySet()>();

    if pairs == null goto label3;
    l3 = interfaceinvoke pairs.<java.util.Set: java.util.Iterator iterator()>();

  label1:
    $stack6 = interfaceinvoke l3.<java.util.Iterator: boolean hasNext()>();

    if $stack6 == 0 goto label3;
    $stack7 = interfaceinvoke l3.<java.util.Iterator: java.lang.Object next()>();
    entry = (java.util.Map$Entry) $stack7;
    $stack8 = interfaceinvoke entry.<java.util.Map$Entry: java.lang.Object getValue()>();
    $stack9 = (java.util.Collection) $stack8;
    $stack10 = interfaceinvoke $stack9.<java.util.Collection: boolean contains(java.lang.Object)>(value);

    if $stack10 == 0 goto label2;

    return 1;

  label2:
    goto label1;

  label3:
    return 0;
}
","/**
 * Checks whether the map contains the value specified.
 * <p>
 * This checks all collections against all keys for the value, and thus could be slow.
 *
 * @param value  the value to search for
 * @return true if the map contains the value
 */
@Override
@SuppressWarnings(""unchecked"")
public boolean containsValue(final Object value) {
    final Set<Map.Entry<K, Object>> pairs = decorated().entrySet();
    if (pairs != null) {
        for (final Map.Entry<K, Object> entry : pairs) {
            if (((Collection<V>) entry.getValue()).contains(value)) {
                return true;
            }
        }
    }
    return false;
}","/**
 * Serialization version
 */
private static final long serialVersionUID = -2214159910087182007L;

/**
 * The factory for creating value collections.
 */
private final Factory<? extends Collection<V>> collectionFactory;

/**
 * The cached values.
 */
private transient Collection<V> valuesView;","<init>()
<init>(Map, Factory)
multiValueMap(Map) | public static
multiValueMap(Map, Class) | public static
multiValueMap(Map, Factory) | public static
writeObject(ObjectOutputStream) | private | throws IOException
readObject(ObjectInputStream) | private | throws IOException, ClassNotFoundException
clear() | public
removeMapping(Object, Object) | public
put(K, Object) | public
putAll(Map) | public
entrySet() | public
values() | public
containsValue(Object, Object) | public
getCollection(Object) | public
size(Object) | public
putAll(K, Collection) | public
iterator(Object) | public
iterator() | public
totalSize() | public
createCollection(int) | protected",public
"org.apache.commons.collections4.map.MultiValueMap.containsValue(java.lang.Object,java.lang.Object)","boolean containsValue(java.lang.Object,java.lang.Object)","{
    java.lang.Object key, value;
    org.apache.commons.collections4.map.MultiValueMap this;
    unknown $stack4, coll;


    this := @this: org.apache.commons.collections4.map.MultiValueMap;
    key := @parameter0: java.lang.Object;
    value := @parameter1: java.lang.Object;
    coll = virtualinvoke this.<org.apache.commons.collections4.map.MultiValueMap: java.util.Collection getCollection(java.lang.Object)>(key);

    if coll != null goto label1;

    return 0;

  label1:
    $stack4 = interfaceinvoke coll.<java.util.Collection: boolean contains(java.lang.Object)>(value);

    return $stack4;
}
","/**
 * Checks whether the collection at the specified key contains the value.
 *
 * @param key  the key to search for
 * @param value  the value to search for
 * @return true if the map contains the value
 */
public boolean containsValue(final Object key, final Object value) {
    final Collection<V> coll = getCollection(key);
    if (coll == null) {
        return false;
    }
    return coll.contains(value);
}","/**
 * Serialization version
 */
private static final long serialVersionUID = -2214159910087182007L;

/**
 * The factory for creating value collections.
 */
private final Factory<? extends Collection<V>> collectionFactory;

/**
 * The cached values.
 */
private transient Collection<V> valuesView;","<init>()
<init>(Map, Factory)
multiValueMap(Map) | public static
multiValueMap(Map, Class) | public static
multiValueMap(Map, Factory) | public static
writeObject(ObjectOutputStream) | private | throws IOException
readObject(ObjectInputStream) | private | throws IOException, ClassNotFoundException
clear() | public
removeMapping(Object, Object) | public
containsValue(Object) | public
put(K, Object) | public
putAll(Map) | public
entrySet() | public
values() | public
getCollection(Object) | public
size(Object) | public
putAll(K, Collection) | public
iterator(Object) | public
iterator() | public
totalSize() | public
createCollection(int) | protected",public
org.apache.commons.collections4.map.MultiValueMap.createCollection(int),java.util.Collection createCollection(int),"{
    int size;
    org.apache.commons.collections4.map.MultiValueMap this;
    unknown $stack2, $stack3, $stack4;


    this := @this: org.apache.commons.collections4.map.MultiValueMap;
    size := @parameter0: int;
    $stack2 = this.<org.apache.commons.collections4.map.MultiValueMap: org.apache.commons.collections4.Factory collectionFactory>;
    $stack3 = interfaceinvoke $stack2.<org.apache.commons.collections4.Factory: java.lang.Object create()>();
    $stack4 = (java.util.Collection) $stack3;

    return $stack4;
}
","/**
 * Creates a new instance of the map value Collection container
 * using the factory.
 * <p>
 * This method can be overridden to perform your own processing
 * instead of using the factory.
 *
 * @param size  the collection size that is about to be added
 * @return the new collection
 */
protected Collection<V> createCollection(final int size) {
    return collectionFactory.create();
}","/**
 * Serialization version
 */
private static final long serialVersionUID = -2214159910087182007L;

/**
 * The factory for creating value collections.
 */
private final Factory<? extends Collection<V>> collectionFactory;

/**
 * The cached values.
 */
private transient Collection<V> valuesView;","<init>()
<init>(Map, Factory)
multiValueMap(Map) | public static
multiValueMap(Map, Class) | public static
multiValueMap(Map, Factory) | public static
writeObject(ObjectOutputStream) | private | throws IOException
readObject(ObjectInputStream) | private | throws IOException, ClassNotFoundException
clear() | public
removeMapping(Object, Object) | public
containsValue(Object) | public
put(K, Object) | public
putAll(Map) | public
entrySet() | public
values() | public
containsValue(Object, Object) | public
getCollection(Object) | public
size(Object) | public
putAll(K, Collection) | public
iterator(Object) | public
iterator() | public
totalSize() | public",protected
org.apache.commons.collections4.map.MultiValueMap.entrySet(),java.util.Set entrySet(),"{
    org.apache.commons.collections4.map.MultiValueMap this;
    unknown $stack1;


    this := @this: org.apache.commons.collections4.map.MultiValueMap;
    $stack1 = specialinvoke this.<org.apache.commons.collections4.map.AbstractMapDecorator: java.util.Set entrySet()>();

    return $stack1;
}
","/**
 * {@inheritDoc}
 * <p>
 * NOTE: the returned Entry objects will contain as value a {@link Collection}
 * of all values that are mapped to the given key. To get a ""flattened"" version
 * of all mappings contained in this map, use {@link #iterator()}.
 *
 * @see #iterator()
 */
@Override
public Set<Entry<K, Object>> entrySet() {
    return super.entrySet();
}","/**
 * Serialization version
 */
private static final long serialVersionUID = -2214159910087182007L;

/**
 * The factory for creating value collections.
 */
private final Factory<? extends Collection<V>> collectionFactory;

/**
 * The cached values.
 */
private transient Collection<V> valuesView;","<init>()
<init>(Map, Factory)
multiValueMap(Map) | public static
multiValueMap(Map, Class) | public static
multiValueMap(Map, Factory) | public static
writeObject(ObjectOutputStream) | private | throws IOException
readObject(ObjectInputStream) | private | throws IOException, ClassNotFoundException
clear() | public
removeMapping(Object, Object) | public
containsValue(Object) | public
put(K, Object) | public
putAll(Map) | public
values() | public
containsValue(Object, Object) | public
getCollection(Object) | public
size(Object) | public
putAll(K, Collection) | public
iterator(Object) | public
iterator() | public
totalSize() | public
createCollection(int) | protected",public
org.apache.commons.collections4.map.MultiValueMap.getCollection(java.lang.Object),java.util.Collection getCollection(java.lang.Object),"{
    java.lang.Object key;
    org.apache.commons.collections4.map.MultiValueMap this;
    unknown $stack2, $stack3, $stack4;


    this := @this: org.apache.commons.collections4.map.MultiValueMap;
    key := @parameter0: java.lang.Object;
    $stack2 = virtualinvoke this.<org.apache.commons.collections4.map.MultiValueMap: java.util.Map decorated()>();
    $stack3 = interfaceinvoke $stack2.<java.util.Map: java.lang.Object get(java.lang.Object)>(key);
    $stack4 = (java.util.Collection) $stack3;

    return $stack4;
}
","/**
 * Gets the collection mapped to the specified key.
 * This method is a convenience method to typecast the result of <code>get(key)</code>.
 *
 * @param key  the key to retrieve
 * @return the collection mapped to the key, null if no mapping
 */
@SuppressWarnings(""unchecked"")
public Collection<V> getCollection(final Object key) {
    return (Collection<V>) decorated().get(key);
}","/**
 * Serialization version
 */
private static final long serialVersionUID = -2214159910087182007L;

/**
 * The factory for creating value collections.
 */
private final Factory<? extends Collection<V>> collectionFactory;

/**
 * The cached values.
 */
private transient Collection<V> valuesView;","<init>()
<init>(Map, Factory)
multiValueMap(Map) | public static
multiValueMap(Map, Class) | public static
multiValueMap(Map, Factory) | public static
writeObject(ObjectOutputStream) | private | throws IOException
readObject(ObjectInputStream) | private | throws IOException, ClassNotFoundException
clear() | public
removeMapping(Object, Object) | public
containsValue(Object) | public
put(K, Object) | public
putAll(Map) | public
entrySet() | public
values() | public
containsValue(Object, Object) | public
size(Object) | public
putAll(K, Collection) | public
iterator(Object) | public
iterator() | public
totalSize() | public
createCollection(int) | protected",public
org.apache.commons.collections4.map.MultiValueMap.iterator(),java.util.Iterator iterator(),"{
    org.apache.commons.collections4.map.MultiValueMap this;
    unknown $stack3, $stack4, $stack5, allKeys, keyIterator;


    this := @this: org.apache.commons.collections4.map.MultiValueMap;
    $stack4 = new java.util.ArrayList;
    $stack3 = virtualinvoke this.<org.apache.commons.collections4.map.MultiValueMap: java.util.Set keySet()>();
    specialinvoke $stack4.<java.util.ArrayList: void <init>(java.util.Collection)>($stack3);
    allKeys = $stack4;
    keyIterator = interfaceinvoke allKeys.<java.util.Collection: java.util.Iterator iterator()>();
    $stack5 = new org.apache.commons.collections4.map.MultiValueMap$1;
    specialinvoke $stack5.<org.apache.commons.collections4.map.MultiValueMap$1: void <init>(org.apache.commons.collections4.map.MultiValueMap,java.util.Iterator)>(this, keyIterator);

    return $stack5;
}
","/**
 * Gets an iterator for all mappings stored in this {@link MultiValueMap}.
 * <p>
 * The iterator will return multiple Entry objects with the same key
 * if there are multiple values mapped to this key.
 * <p>
 * NOTE: calling {@link java.util.Map.Entry#setValue(Object)} on any of the returned
 * elements will result in a {@link UnsupportedOperationException}.
 *
 * @return the iterator of all mappings in this map
 * @since 4.0
 */
public Iterator<Entry<K, V>> iterator() {
    final Collection<K> allKeys = new ArrayList<K>(keySet());
    final Iterator<K> keyIterator = allKeys.iterator();
    return new LazyIteratorChain<Entry<K, V>>() {

        @Override
        protected Iterator<? extends Entry<K, V>> nextIterator(int count) {
            if (!keyIterator.hasNext()) {
                return null;
            }
            final K key = keyIterator.next();
            final Transformer<V, Entry<K, V>> transformer = new Transformer<V, Entry<K, V>>() {

                @Override
                public Entry<K, V> transform(final V input) {
                    return new Entry<K, V>() {

                        @Override
                        public K getKey() {
                            return key;
                        }

                        @Override
                        public V getValue() {
                            return input;
                        }

                        @Override
                        public V setValue(V value) {
                            throw new UnsupportedOperationException();
                        }
                    };
                }
            };
            return new TransformIterator<V, Entry<K, V>>(new ValuesIterator(key), transformer);
        }
    };
}","/**
 * Serialization version
 */
private static final long serialVersionUID = -2214159910087182007L;

/**
 * The factory for creating value collections.
 */
private final Factory<? extends Collection<V>> collectionFactory;

/**
 * The cached values.
 */
private transient Collection<V> valuesView;","<init>()
<init>(Map, Factory)
multiValueMap(Map) | public static
multiValueMap(Map, Class) | public static
multiValueMap(Map, Factory) | public static
writeObject(ObjectOutputStream) | private | throws IOException
readObject(ObjectInputStream) | private | throws IOException, ClassNotFoundException
clear() | public
removeMapping(Object, Object) | public
containsValue(Object) | public
put(K, Object) | public
putAll(Map) | public
entrySet() | public
values() | public
containsValue(Object, Object) | public
getCollection(Object) | public
size(Object) | public
putAll(K, Collection) | public
iterator(Object) | public
totalSize() | public
createCollection(int) | protected",public
org.apache.commons.collections4.map.MultiValueMap.iterator(java.lang.Object),java.util.Iterator iterator(java.lang.Object),"{
    java.lang.Object key;
    org.apache.commons.collections4.map.MultiValueMap this;
    unknown $stack2, $stack3, $stack4;


    this := @this: org.apache.commons.collections4.map.MultiValueMap;
    key := @parameter0: java.lang.Object;
    $stack2 = virtualinvoke this.<org.apache.commons.collections4.map.MultiValueMap: boolean containsKey(java.lang.Object)>(key);

    if $stack2 != 0 goto label1;
    $stack4 = staticinvoke <org.apache.commons.collections4.iterators.EmptyIterator: java.util.Iterator emptyIterator()>();

    return $stack4;

  label1:
    $stack3 = new org.apache.commons.collections4.map.MultiValueMap$ValuesIterator;
    specialinvoke $stack3.<org.apache.commons.collections4.map.MultiValueMap$ValuesIterator: void <init>(org.apache.commons.collections4.map.MultiValueMap,java.lang.Object)>(this, key);

    return $stack3;
}
","/**
 * Gets an iterator for the collection mapped to the specified key.
 *
 * @param key  the key to get an iterator for
 * @return the iterator of the collection at the key, empty iterator if key not in map
 */
public Iterator<V> iterator(final Object key) {
    if (!containsKey(key)) {
        return EmptyIterator.<V>emptyIterator();
    }
    return new ValuesIterator(key);
}","/**
 * Serialization version
 */
private static final long serialVersionUID = -2214159910087182007L;

/**
 * The factory for creating value collections.
 */
private final Factory<? extends Collection<V>> collectionFactory;

/**
 * The cached values.
 */
private transient Collection<V> valuesView;","<init>()
<init>(Map, Factory)
multiValueMap(Map) | public static
multiValueMap(Map, Class) | public static
multiValueMap(Map, Factory) | public static
writeObject(ObjectOutputStream) | private | throws IOException
readObject(ObjectInputStream) | private | throws IOException, ClassNotFoundException
clear() | public
removeMapping(Object, Object) | public
containsValue(Object) | public
put(K, Object) | public
putAll(Map) | public
entrySet() | public
values() | public
containsValue(Object, Object) | public
getCollection(Object) | public
size(Object) | public
putAll(K, Collection) | public
iterator() | public
totalSize() | public
createCollection(int) | protected",public
org.apache.commons.collections4.map.MultiValueMap.multiValueMap(java.util.Map),org.apache.commons.collections4.map.MultiValueMap multiValueMap(java.util.Map),"{
    java.util.Map map;
    unknown $stack1;


    map := @parameter0: java.util.Map;
    $stack1 = staticinvoke <org.apache.commons.collections4.map.MultiValueMap: org.apache.commons.collections4.map.MultiValueMap multiValueMap(java.util.Map,java.lang.Class)>(map, class ""Ljava/util/ArrayList;"");

    return $stack1;
}
","/**
 * Creates a map which wraps the given map and
 * maps keys to ArrayLists.
 *
 * @param <K>  the key type
 * @param <V>  the value type
 * @param map  the map to wrap
 * @return a new multi-value map
 * @since 4.0
 */
@SuppressWarnings({ ""unchecked"", ""rawtypes"" })
public static <K, V> MultiValueMap<K, V> multiValueMap(final Map<K, ? super Collection<V>> map) {
    return MultiValueMap.<K, V, ArrayList>multiValueMap((Map<K, ? super Collection>) map, ArrayList.class);
}","/**
 * Serialization version
 */
private static final long serialVersionUID = -2214159910087182007L;

/**
 * The factory for creating value collections.
 */
private final Factory<? extends Collection<V>> collectionFactory;

/**
 * The cached values.
 */
private transient Collection<V> valuesView;","<init>()
<init>(Map, Factory)
multiValueMap(Map, Class) | public static
multiValueMap(Map, Factory) | public static
writeObject(ObjectOutputStream) | private | throws IOException
readObject(ObjectInputStream) | private | throws IOException, ClassNotFoundException
clear() | public
removeMapping(Object, Object) | public
containsValue(Object) | public
put(K, Object) | public
putAll(Map) | public
entrySet() | public
values() | public
containsValue(Object, Object) | public
getCollection(Object) | public
size(Object) | public
putAll(K, Collection) | public
iterator(Object) | public
iterator() | public
totalSize() | public
createCollection(int) | protected",public static
"org.apache.commons.collections4.map.MultiValueMap.multiValueMap(java.util.Map,java.lang.Class)","org.apache.commons.collections4.map.MultiValueMap multiValueMap(java.util.Map,java.lang.Class)","{
    java.lang.Class collectionClass;
    java.util.Map map;
    unknown $stack2, $stack3;


    map := @parameter0: java.util.Map;
    collectionClass := @parameter1: java.lang.Class;
    $stack3 = new org.apache.commons.collections4.map.MultiValueMap;
    $stack2 = new org.apache.commons.collections4.map.MultiValueMap$ReflectionFactory;
    specialinvoke $stack2.<org.apache.commons.collections4.map.MultiValueMap$ReflectionFactory: void <init>(java.lang.Class)>(collectionClass);
    specialinvoke $stack3.<org.apache.commons.collections4.map.MultiValueMap: void <init>(java.util.Map,org.apache.commons.collections4.Factory)>(map, $stack2);

    return $stack3;
}
","/**
 * Creates a map which decorates the given <code>map</code> and
 * maps keys to collections of type <code>collectionClass</code>.
 *
 * @param <K>  the key type
 * @param <V>  the value type
 * @param <C>  the collection class type
 * @param map  the map to wrap
 * @param collectionClass  the type of the collection class
 * @return a new multi-value map
 * @since 4.0
 */
public static <K, V, C extends Collection<V>> MultiValueMap<K, V> multiValueMap(final Map<K, ? super C> map, final Class<C> collectionClass) {
    return new MultiValueMap<K, V>(map, new ReflectionFactory<C>(collectionClass));
}","/**
 * Serialization version
 */
private static final long serialVersionUID = -2214159910087182007L;

/**
 * The factory for creating value collections.
 */
private final Factory<? extends Collection<V>> collectionFactory;

/**
 * The cached values.
 */
private transient Collection<V> valuesView;","<init>()
<init>(Map, Factory)
multiValueMap(Map) | public static
multiValueMap(Map, Factory) | public static
writeObject(ObjectOutputStream) | private | throws IOException
readObject(ObjectInputStream) | private | throws IOException, ClassNotFoundException
clear() | public
removeMapping(Object, Object) | public
containsValue(Object) | public
put(K, Object) | public
putAll(Map) | public
entrySet() | public
values() | public
containsValue(Object, Object) | public
getCollection(Object) | public
size(Object) | public
putAll(K, Collection) | public
iterator(Object) | public
iterator() | public
totalSize() | public
createCollection(int) | protected",public static
"org.apache.commons.collections4.map.MultiValueMap.multiValueMap(java.util.Map,org.apache.commons.collections4.Factory)","org.apache.commons.collections4.map.MultiValueMap multiValueMap(java.util.Map,org.apache.commons.collections4.Factory)","{
    java.util.Map map;
    org.apache.commons.collections4.Factory collectionFactory;
    unknown $stack2;


    map := @parameter0: java.util.Map;
    collectionFactory := @parameter1: org.apache.commons.collections4.Factory;
    $stack2 = new org.apache.commons.collections4.map.MultiValueMap;
    specialinvoke $stack2.<org.apache.commons.collections4.map.MultiValueMap: void <init>(java.util.Map,org.apache.commons.collections4.Factory)>(map, collectionFactory);

    return $stack2;
}
","/**
 * Creates a map which decorates the given <code>map</code> and
 * creates the value collections using the supplied <code>collectionFactory</code>.
 *
 * @param <K>  the key type
 * @param <V>  the value type
 * @param <C>  the collection class type
 * @param map  the map to decorate
 * @param collectionFactory  the collection factory (must return a Collection object).
 * @return a new multi-value map
 * @since 4.0
 */
public static <K, V, C extends Collection<V>> MultiValueMap<K, V> multiValueMap(final Map<K, ? super C> map, final Factory<C> collectionFactory) {
    return new MultiValueMap<K, V>(map, collectionFactory);
}","/**
 * Serialization version
 */
private static final long serialVersionUID = -2214159910087182007L;

/**
 * The factory for creating value collections.
 */
private final Factory<? extends Collection<V>> collectionFactory;

/**
 * The cached values.
 */
private transient Collection<V> valuesView;","<init>()
<init>(Map, Factory)
multiValueMap(Map) | public static
multiValueMap(Map, Class) | public static
writeObject(ObjectOutputStream) | private | throws IOException
readObject(ObjectInputStream) | private | throws IOException, ClassNotFoundException
clear() | public
removeMapping(Object, Object) | public
containsValue(Object) | public
put(K, Object) | public
putAll(Map) | public
entrySet() | public
values() | public
containsValue(Object, Object) | public
getCollection(Object) | public
size(Object) | public
putAll(K, Collection) | public
iterator(Object) | public
iterator() | public
totalSize() | public
createCollection(int) | protected",public static
"org.apache.commons.collections4.map.MultiValueMap.put(java.lang.Object,java.lang.Object)","java.lang.Object put(java.lang.Object,java.lang.Object)","{
    java.lang.Object key, value;
    org.apache.commons.collections4.map.MultiValueMap this;
    unknown $stack5, $stack6, $stack7, coll, result;


    this := @this: org.apache.commons.collections4.map.MultiValueMap;
    key := @parameter0: java.lang.Object;
    value := @parameter1: java.lang.Object;
    result = 0;
    coll = virtualinvoke this.<org.apache.commons.collections4.map.MultiValueMap: java.util.Collection getCollection(java.lang.Object)>(key);

    if coll != null goto label1;
    coll = virtualinvoke this.<org.apache.commons.collections4.map.MultiValueMap: java.util.Collection createCollection(int)>(1);
    interfaceinvoke coll.<java.util.Collection: boolean add(java.lang.Object)>(value);
    $stack6 = interfaceinvoke coll.<java.util.Collection: int size()>();

    if $stack6 <= 0 goto label2;
    $stack7 = virtualinvoke this.<org.apache.commons.collections4.map.MultiValueMap: java.util.Map decorated()>();
    interfaceinvoke $stack7.<java.util.Map: java.lang.Object put(java.lang.Object,java.lang.Object)>(key, coll);
    result = 1;

    goto label2;

  label1:
    result = interfaceinvoke coll.<java.util.Collection: boolean add(java.lang.Object)>(value);

  label2:
    if result == 0 goto label3;
    $stack5 = value;

    goto label4;

  label3:
    $stack5 = null;

  label4:
    return $stack5;
}
","/**
 * Adds the value to the collection associated with the specified key.
 * <p>
 * Unlike a normal <code>Map</code> the previous value is not replaced.
 * Instead the new value is added to the collection stored against the key.
 *
 * @param key  the key to store against
 * @param value  the value to add to the collection at the key
 * @return the value added if the map changed and null if the map did not change
 */
@Override
@SuppressWarnings(""unchecked"")
public Object put(final K key, final Object value) {
    boolean result = false;
    Collection<V> coll = getCollection(key);
    if (coll == null) {
        // might produce a non-empty collection
        coll = createCollection(1);
        coll.add((V) value);
        if (coll.size() > 0) {
            // only add if non-zero size to maintain class state
            decorated().put(key, coll);
            // map definitely changed
            result = true;
        }
    } else {
        result = coll.add((V) value);
    }
    return result ? value : null;
}","/**
 * Serialization version
 */
private static final long serialVersionUID = -2214159910087182007L;

/**
 * The factory for creating value collections.
 */
private final Factory<? extends Collection<V>> collectionFactory;

/**
 * The cached values.
 */
private transient Collection<V> valuesView;","<init>()
<init>(Map, Factory)
multiValueMap(Map) | public static
multiValueMap(Map, Class) | public static
multiValueMap(Map, Factory) | public static
writeObject(ObjectOutputStream) | private | throws IOException
readObject(ObjectInputStream) | private | throws IOException, ClassNotFoundException
clear() | public
removeMapping(Object, Object) | public
containsValue(Object) | public
putAll(Map) | public
entrySet() | public
values() | public
containsValue(Object, Object) | public
getCollection(Object) | public
size(Object) | public
putAll(K, Collection) | public
iterator(Object) | public
iterator() | public
totalSize() | public
createCollection(int) | protected",public
"org.apache.commons.collections4.map.MultiValueMap.putAll(java.lang.Object,java.util.Collection)","boolean putAll(java.lang.Object,java.util.Collection)","{
    java.lang.Object key;
    java.util.Collection values;
    org.apache.commons.collections4.map.MultiValueMap this;
    unknown $stack5, $stack6, $stack7, $stack8, coll, result;


    this := @this: org.apache.commons.collections4.map.MultiValueMap;
    key := @parameter0: java.lang.Object;
    values := @parameter1: java.util.Collection;

    if values == null goto label1;
    $stack5 = interfaceinvoke values.<java.util.Collection: int size()>();

    if $stack5 != 0 goto label2;

  label1:
    return 0;

  label2:
    result = 0;
    coll = virtualinvoke this.<org.apache.commons.collections4.map.MultiValueMap: java.util.Collection getCollection(java.lang.Object)>(key);

    if coll != null goto label3;
    $stack6 = interfaceinvoke values.<java.util.Collection: int size()>();
    coll = virtualinvoke this.<org.apache.commons.collections4.map.MultiValueMap: java.util.Collection createCollection(int)>($stack6);
    interfaceinvoke coll.<java.util.Collection: boolean addAll(java.util.Collection)>(values);
    $stack7 = interfaceinvoke coll.<java.util.Collection: int size()>();

    if $stack7 <= 0 goto label4;
    $stack8 = virtualinvoke this.<org.apache.commons.collections4.map.MultiValueMap: java.util.Map decorated()>();
    interfaceinvoke $stack8.<java.util.Map: java.lang.Object put(java.lang.Object,java.lang.Object)>(key, coll);
    result = 1;

    goto label4;

  label3:
    result = interfaceinvoke coll.<java.util.Collection: boolean addAll(java.util.Collection)>(values);

  label4:
    return result;
}
","/**
 * Adds a collection of values to the collection associated with
 * the specified key.
 *
 * @param key  the key to store against
 * @param values  the values to add to the collection at the key, null ignored
 * @return true if this map changed
 */
public boolean putAll(final K key, final Collection<V> values) {
    if (values == null || values.size() == 0) {
        return false;
    }
    boolean result = false;
    Collection<V> coll = getCollection(key);
    if (coll == null) {
        // might produce a non-empty collection
        coll = createCollection(values.size());
        coll.addAll(values);
        if (coll.size() > 0) {
            // only add if non-zero size to maintain class state
            decorated().put(key, coll);
            // map definitely changed
            result = true;
        }
    } else {
        result = coll.addAll(values);
    }
    return result;
}","/**
 * Serialization version
 */
private static final long serialVersionUID = -2214159910087182007L;

/**
 * The factory for creating value collections.
 */
private final Factory<? extends Collection<V>> collectionFactory;

/**
 * The cached values.
 */
private transient Collection<V> valuesView;","<init>()
<init>(Map, Factory)
multiValueMap(Map) | public static
multiValueMap(Map, Class) | public static
multiValueMap(Map, Factory) | public static
writeObject(ObjectOutputStream) | private | throws IOException
readObject(ObjectInputStream) | private | throws IOException, ClassNotFoundException
clear() | public
removeMapping(Object, Object) | public
containsValue(Object) | public
put(K, Object) | public
putAll(Map) | public
entrySet() | public
values() | public
containsValue(Object, Object) | public
getCollection(Object) | public
size(Object) | public
iterator(Object) | public
iterator() | public
totalSize() | public
createCollection(int) | protected",public
